ticker,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
AMZN,2013-09-30,2013-10-24,-0.09,-0.09,0,0,post-market
AMZN,2013-12-31,2014-01-30,0.03,0.03,0,0,post-market
AMZN,2014-03-31,2014-04-24,0.01,0.01,0,0,post-market
AMZN,2014-06-30,2014-07-24,-0.01,-0.01,0,0,post-market
AMZN,2014-09-30,2014-10-23,-0.05,-0.04,-0.01,-25,post-market
AMZN,2014-12-31,2015-01-29,0.02,0.01,0.01,100,post-market
AMZN,2015-03-31,2015-04-23,-0.01,-0.01,0,0,post-market
AMZN,2015-06-30,2015-07-23,0.01,-0.01,0.02,200,post-market
AMZN,2015-09-30,2015-10-22,0.01,-0.01,0.02,200,post-market
AMZN,2015-12-31,2016-01-28,0.05,0.08,-0.03,-37.5,post-market
AMZN,2016-03-31,2016-04-28,0.05,0.03,0.02,66.6667,post-market
AMZN,2016-06-30,2016-07-28,0.09,0.05,0.04,80,post-market
AMZN,2016-09-30,2016-10-27,0.03,0.04,-0.01,-25,post-market
AMZN,2016-12-31,2017-02-02,0.08,0.07,0.01,14.2857,post-market
AMZN,2017-03-31,2017-04-27,0.07,0.06,0.01,16.6667,post-market
AMZN,2017-06-30,2017-07-27,0.02,0.07,-0.05,-71.4286,post-market
AMZN,2017-09-30,2017-10-26,0.03,0.03,0,0,post-market
AMZN,2017-12-31,2018-02-01,0.11,0.09,0.02,22.2222,post-market
AMZN,2018-03-31,2018-04-26,0.16,0.06,0.1,166.6667,post-market
AMZN,2018-06-30,2018-07-26,0.25,0.13,0.12,92.3077,post-market
AMZN,2018-09-30,2018-10-25,0.29,0.15,0.14,93.3333,post-market
AMZN,2018-12-31,2019-01-31,0.3,0.28,0.02,7.1429,post-market
AMZN,2019-03-31,2019-04-25,0.35,0.23,0.12,52.1739,post-market
AMZN,2019-06-30,2019-07-25,0.26,0.28,-0.02,-7.1429,post-market
AMZN,2019-09-30,2019-10-24,0.21,0.22,-0.01,-4.5455,post-market
AMZN,2019-12-31,2020-01-30,0.32,0.2,0.12,60,post-market
AMZN,2020-03-31,2020-04-30,0.25,0.31,-0.06,-19.3548,post-market
AMZN,2020-06-30,2020-07-30,0.52,0.08,0.44,550,post-market
AMZN,2020-09-30,2020-10-29,0.62,0.38,0.24,63.1579,post-market
AMZN,2020-12-31,2021-02-02,0.7,0.35,0.35,100,post-market
AMZN,2021-03-31,2021-04-29,0.79,0.47,0.32,68.0851,post-market
AMZN,2021-06-30,2021-07-29,0.76,0.61,0.15,24.5902,post-market
AMZN,2021-09-30,2021-10-28,0.31,0.44,-0.13,-29.5455,post-market
AMZN,2021-12-31,2022-02-03,1.39,0.18,1.21,672.2222,post-market
AMZN,2022-03-31,2022-04-28,-0.38,0.42,-0.8,-190.4762,post-market
AMZN,2022-06-30,2022-07-28,-0.2,0.12,-0.32,-266.6667,post-market
AMZN,2022-09-30,2022-10-27,0.28,0.21,0.07,33.3333,post-market
AMZN,2022-12-31,2023-02-02,0.03,0.17,-0.14,-82.3529,post-market
AMZN,2023-03-31,2023-04-27,0.31,0.21,0.1,47.619,post-market
AMZN,2023-06-30,2023-08-03,0.65,0.34,0.31,91.1765,post-market
AMZN,2023-09-30,2023-10-26,0.94,0.58,0.36,62.069,post-market
AMZN,2023-12-31,2024-02-01,1,0.8,0.2,25,post-market
AMZN,2024-03-31,2024-04-30,0.98,0.82,0.16,19.5122,post-market
AMZN,2024-06-30,2024-08-01,1.26,1.02,0.24,23.5294,post-market
AMZN,2024-09-30,2024-10-31,1.43,1.14,0.29,25.4386,post-market
AMZN,2024-12-31,2025-02-06,1.86,1.4837,0.3763,25.3623,pre-market
AMZN,2025-03-31,2025-05-01,1.59,1.36,0.23,16.9118,post-market
AMZN,2025-06-30,2025-07-31,1.68,1.32,0.36,27.2727,post-market
AMZN,2025-09-30,2025-10-30,1.95,1.56,0.39,25,post-market
AMZN,2025-12-31,2026-02-05,1.95,1.95,0,0,post-market
AMZN,2026-03-31,2026-04-29,2.78,1.64,1.14,69.5122,post-market
COST,1997-11-30,1997-11-30,0.2156,None,0,None,pre-market
COST,1998-02-28,1998-02-28,0.2733,None,0,None,pre-market
COST,1998-05-31,1998-05-31,0.1834,None,0,None,pre-market
COST,1998-08-31,1998-08-31,0.3227,None,0,None,pre-market
COST,1998-11-30,1998-11-30,-0.0295,None,0,None,pre-market
COST,1999-02-28,1999-04-30,0.2282,None,0,None,pre-market
COST,1999-08-31,1999-10-06,0.4,0.38,0.02,5.2632,pre-market
COST,1999-11-30,1999-12-09,0.28,0.27,0.01,3.7037,pre-market
COST,2000-02-29,2000-05-24,0.26,0.27,-0.01,-3.7037,pre-market
COST,2000-08-31,2000-10-12,0.43,0.43,0,0,pre-market
COST,2000-11-30,2000-12-14,0.28,0.28,0,0,pre-market
COST,2001-02-28,2001-05-31,0.23,0.23,0,0,pre-market
COST,2001-05-31,2001-08-01,0.226,None,0,None,pre-market
COST,2001-08-31,2001-10-11,0.41,0.4,0.01,2.5,pre-market
COST,2001-11-30,2001-12-13,0.28,0.28,0,0,pre-market
COST,2002-02-28,2002-05-30,0.28,0.28,0,0,pre-market
COST,2002-08-31,2002-10-10,0.52,0.49,0.03,6.1224,pre-market
COST,2002-11-30,2002-12-12,0.31,0.31,0,0,pre-market
COST,2003-02-28,2003-05-28,0.33,0.31,0.02,6.4516,pre-market
COST,2003-05-31,2003-06-23,0.3209,None,0,None,pre-market
COST,2003-08-31,2003-10-08,0.51,0.47,0.04,8.5106,pre-market
COST,2003-11-30,2003-12-09,0.34,0.31,0.03,9.6774,pre-market
COST,2004-02-29,2004-05-27,0.42,0.37,0.05,13.5135,pre-market
COST,2004-05-31,2004-06-17,0.42,0.38,0.04,10.5263,pre-market
COST,2004-08-31,2004-10-07,0.62,0.58,0.04,6.8966,pre-market
COST,2004-11-30,2004-12-09,0.4,0.41,-0.01,-2.439,pre-market
COST,2005-02-28,2005-05-26,0.43,0.42,0.01,2.381,pre-market
COST,2005-08-31,2005-09-01,0.66,0.65,0.01,1.5385,pre-market
COST,2005-11-30,2005-12-08,0.45,0.45,0,0,pre-market
COST,2006-02-28,2006-03-02,0.62,0.6,0.02,3.3333,pre-market
COST,2006-05-31,2006-06-16,0.49,0.5,-0.01,-2,post-market
COST,2006-08-31,2006-10-12,0.75,0.73,0.02,2.7397,pre-market
COST,2006-11-30,2006-12-14,0.51,0.5,0.01,2,pre-market
COST,2007-02-28,2007-05-31,0.56,0.56,0,0,pre-market
COST,2007-05-31,2007-05-31,0.4922,None,0,None,pre-market
COST,2007-08-31,2007-10-10,0.91,0.83,0.08,9.6386,pre-market
COST,2007-11-30,2007-12-13,0.59,0.6,-0.01,-1.6667,pre-market
COST,2008-02-29,2008-05-29,0.67,0.66,0.01,1.5152,pre-market
COST,2008-08-31,2008-10-08,0.92,0.93,-0.01,-1.0753,pre-market
COST,2008-11-30,2008-12-11,0.6,0.62,-0.02,-3.2258,pre-market
COST,2009-02-28,2009-05-28,0.52,0.52,0,0,pre-market
COST,2009-08-31,2009-10-07,0.85,0.77,0.08,10.3896,pre-market
COST,2009-11-30,2009-12-10,0.6,0.59,0.01,1.6949,pre-market
COST,2010-02-28,2010-05-27,0.66,0.66,0,0,pre-market
COST,2010-08-31,2010-10-06,0.97,0.95,0.02,2.1053,pre-market
