event_id,ticker,freeze_ts,label_surprise,label_ts,hist_prior_beats,hist_mean_surprise,n_present_features,edgar_online
AAPL:1997-01-15,AAPL,1997-01-15T00:00:00,-0.01,1997-01-15T00:00:00,2,0.0039,1,False
AAPL:1996-10-16,AAPL,1996-10-16T00:00:00,0.0118,1996-10-16T00:00:00,1,0.0,1,False
AAPL:1996-07-17,AAPL,1996-07-17T00:00:00,0.02,1996-07-17T00:00:00,0,-0.02,1,False
DKS:2026-05-27,DKS,2026-05-27T00:00:00,-0.01,2026-05-27T00:00:00,4,0.202,1,False
DKS:2026-03-12,DKS,2026-03-12T00:00:00,0.5,2026-03-12T00:00:00,4,0.1045,1,False
DKS:2025-11-25,DKS,2025-11-25T00:00:00,0.07,2025-11-25T00:00:00,4,0.102,1,False
DKS:2025-08-28,DKS,2025-08-28T00:00:00,0.08,2025-08-28T00:00:00,4,0.2095,1,False
DKS:2025-05-28,DKS,2025-05-28T00:00:00,0.158,2025-05-28T00:00:00,4,0.2525,1,False
DKS:2025-03-11,DKS,2025-03-11T00:00:00,0.11,2025-03-11T00:00:00,4,0.35,1,False
DKS:2024-11-26,DKS,2024-11-26T00:00:00,0.06,2024-11-26T00:00:00,4,0.4325,1,False
DKS:2024-09-04,DKS,2024-09-04T00:00:00,0.51,2024-09-04T00:00:00,3,0.0575,1,False
DKS:2024-05-29,DKS,2024-05-29T00:00:00,0.33,2024-05-29T00:00:00,3,0.0225,1,False
DKS:2024-03-14,DKS,2024-03-14T00:00:00,0.5,2024-03-14T00:00:00,3,-0.0925,1,False
DKS:2023-11-21,DKS,2023-11-21T00:00:00,0.39,2023-11-21T00:00:00,3,-0.105,1,False
DKS:2023-08-22,DKS,2023-08-22T00:00:00,-0.99,2023-08-22T00:00:00,4,0.17,1,False
DKS:2023-05-23,DKS,2023-05-23T00:00:00,0.19,2023-05-23T00:00:00,4,0.2025,1,False
DKS:2023-03-07,DKS,2023-03-07T00:00:00,0.04,2023-03-07T00:00:00,4,0.2175,1,False
DKS:2022-11-22,DKS,2022-11-22T00:00:00,0.34,2022-11-22T00:00:00,4,0.42,1,False
DKS:2022-08-23,DKS,2022-08-23T00:00:00,0.11,2022-08-23T00:00:00,4,0.9575,1,False
DKS:2022-05-25,DKS,2022-05-25T00:00:00,0.32,2022-05-25T00:00:00,4,1.5275,1,False
DKS:2022-03-08,DKS,2022-03-08T00:00:00,0.1,2022-03-08T00:00:00,4,1.5325,1,False
DKS:2021-11-23,DKS,2021-11-23T00:00:00,1.15,2021-11-23T00:00:00,4,1.4775,1,False
DKS:2021-08-25,DKS,2021-08-25T00:00:00,2.26,2021-08-25T00:00:00,4,1.37,1,False
DKS:2021-05-26,DKS,2021-05-26T00:00:00,2.6,2021-05-26T00:00:00,3,0.5,1,False
