date,ticker,prev_close,price_1030,gain_1030,cum_vol_1030,vwap_1030,read,C1,C2,C3,C4,E1,E2,E3,E4,entry_open_1030,close_eod,outcome_pct,n_slice_bars,active_proxy,boundary_leak_zone
2025-07-21,HSDT,8.9,11.8272,0.3289,3052626,12.6482,EX,0,0,0,0,1,1,1,0,11.9,9.68,-0.1866,12,1,0
2025-07-21,IXHL,18.3,23.84,0.3027,2587529,23.8556,EX,0,0,0,0,1,1,1,0,23.84,24.47,0.0264,12,1,0
2025-07-21,NVTS,6.79,9.2108,0.3565,52376247,8.4292,CONT,1,1,1,1,0,0,1,0,9.22,8.46,-0.0824,12,1,0
2025-07-21,OPEN,2.25,3.155,0.4022,298904927,3.0228,CONT,1,1,1,1,0,0,0,0,3.155,3.215,0.019,12,1,0
2025-07-21,PMN,11,33.5,2.0455,2820321,28.0438,CONT,1,1,0,1,0,1,0,0,34.75,28.25,-0.1871,12,1,0
2025-07-21,SABS,2.57,4.25,0.6537,45598399,5.3043,UNC,0,1,1,0,1,1,1,1,4.25,2.7,-0.3647,12,1,0
2025-07-21,VERI,2.26,3.0735,0.36,6037440,2.9446,UNC,1,1,1,1,0,1,1,0,3.0707,2.8,-0.0882,12,1,0
2025-07-21,ZIMV,8.44,18.76,1.2227,2958027,18.751,CONT,1,1,1,0,0,0,1,0,18.7688,18.76,-0.0005,12,0,0
2025-07-22,DFLI,2.665,5.909,1.2173,24317127,5.4199,UNC,1,1,1,1,0,1,1,0,5.92,5.201,-0.1215,12,1,0
2025-07-22,HTOO,4.28,8.95,1.0911,6578211,9.6784,EX,0,0,1,0,1,1,1,0,8.84,6.84,-0.2262,11,1,0
2025-07-22,KSS,10.42,13.6598,0.3109,80083194,15.4547,EX,0,1,0,0,1,1,1,0,13.655,14.345,0.0505,12,1,0
2025-07-22,MEDP,308.88,465.45,0.5069,1671557,475.5189,UNC,0,1,1,0,1,0,1,0,465.5,476.92,0.0245,12,1,0
2025-07-22,PLRZ,5.447,9.45,0.7349,10208475,9.197,CONT,1,1,1,1,0,0,0,0,9.45,8.7,-0.0794,12,1,0
2025-07-23,ABVX,10,64.8479,5.4848,9357582,66.1678,UNC,0,1,1,0,1,1,1,0,64.74,68.415,0.0568,12,1,0
2025-07-23,AMOD,46.4,81.16,0.7491,1505513,80.9528,UNC,1,0,1,0,0,0,0,1,81,73.6,-0.0914,12,1,0
2025-07-23,ANEB,1.83,3.1992,0.7482,4387960,3.2411,UNC,0,1,0,0,1,0,1,0,3.192,3.32,0.0401,12,0,0
2025-07-23,CLSD,5.271,8.225,0.5604,2987608,7.9614,CONT,1,1,1,1,0,0,1,0,8.192,8.7,0.062,12,0,0
2025-07-23,CTOR,1.65,2.3,0.3939,2609850,2.1092,CONT,1,1,1,1,0,0,0,0,2.265,1.8207,-0.1962,12,1,0
2025-07-23,GPRO,1.37,2.245,0.6387,78232250,2.0941,UNC,1,1,0,1,0,1,1,0,2.245,1.5599,-0.3052,12,1,0
2025-07-23,PAPL,3.5,6.72,0.92,4037956,7.3169,EX,0,1,0,0,1,1,1,1,6.742,5.7,-0.1546,11,1,0
2025-07-23,PLRZ,8.7,12.54,0.4414,5811765,12.6184,UNC,0,1,1,1,1,1,1,0,12.51,11.21,-0.1039,12,1,0
2025-07-24,AIRE,8.915,12.82,0.438,3125888,12.5824,CONT,1,1,1,1,0,0,1,0,12.84,11.28,-0.1215,12,1,0
2025-07-24,IXHL,30.3,41.85,0.3812,2014375,40.3873,CONT,1,1,1,1,0,0,0,0,41.85,48.57,0.1606,12,1,0
2025-07-24,LIDR,1.13,3.7192,2.2913,100960678,3.9819,EX,0,1,0,0,1,1,1,0,3.72,2.9112,-0.2174,12,1,0
2025-07-24,SUGP,7.505,10.3,0.3724,1012984,10.3437,UNC,0,1,1,1,1,1,1,0,10.3,9.801,-0.0484,12,1,0
2025-07-25,COUR,9.08,12.205,0.3442,9471282,11.9319,UNC,1,1,0,1,0,1,1,0,12.21,12.37,0.0131,12,1,0
2025-07-25,HTOO,4.73,6.6108,0.3976,7909614,7.5351,UNC,0,1,1,0,1,1,1,0,6.62,6.9899,0.0559,12,1,0
2025-07-25,LHAI,5.63,9.2201,0.6377,9267310,11.4053,EX,0,0,1,0,1,1,1,1,9.23,10.235,0.1089,11,1,0
2025-07-25,LIDR,2.92,4.145,0.4195,80902124,3.8782,CONT,1,1,1,1,0,0,0,1,4.149,4.43,0.0677,12,1,0
2025-07-25,MCVT,1.85,2.54,0.373,6670261,2.6314,EX,0,1,0,0,1,1,1,1,2.5335,5.88,1.3209,12,1,0
2025-07-25,OCTO,1.43,2.025,0.4161,12637431,2.0158,CONT,1,1,0,1,0,0,1,0,2.025,2.445,0.2074,12,0,0
2025-07-25,SOWG,19.8,27.6,0.3939,1421626,27.1676,UNC,1,1,1,1,0,1,1,0,27.6,23.25,-0.1576,12,1,0
2025-07-28,ABP,9.462,12.37,0.3073,595193,11.9048,CONT,1,1,1,1,0,0,0,0,12.37,9.453,-0.2358,12,0,0
2025-07-28,AIM,8.4,11.835,0.4089,1036536,14.2957,UNC,0,0,0,0,1,1,0,0,11.77,7.18,-0.39,10,1,0
2025-07-28,ANGH,4.505,6.09,0.3518,1074434,6.4856,EX,0,0,1,0,1,1,1,1,6.053,6.262,0.0345,12,1,0
2025-07-28,CELC,13.77,35.4919,1.5775,8993261,41.5438,EX,0,0,0,0,1,1,1,0,35.53,36.7738,0.035,12,1,0
2025-07-28,GTI,5.94,7.89,0.3283,1000151,8.633,EX,0,0,0,0,1,1,1,0,7.89,8.436,0.0692,12,0,0
2025-07-28,NVNI,4.203,6.13,0.4585,5468098,6.1586,EX,0,1,0,0,1,1,1,1,6.158,6.9,0.1205,12,1,0
2025-07-28,VAPE,8.875,62.1,5.9972,2498701,58.3157,CONT,1,1,1,1,0,0,0,0,62.1,57.6394,-0.0718,12,0,0
2025-07-28,VWAV,2.35,6.7099,1.8553,54955126,5.2286,CONT,1,1,1,1,0,0,0,0,6.7001,11,0.6418,12,1,0
2025-07-29,SCNI,2.05,2.92,0.4244,24240058,3.1122,UNC,0,1,0,0,1,0,0,0,2.93,1.9903,-0.3207,12,1,0
2025-07-29,SLRX,11.12,27.15,1.4415,1563377,29.8846,UNC,0,1,1,0,1,1,1,0,27.07,14.62,-0.4599,12,0,0
2025-07-29,SOFX,26.56,34.72,0.3072,1073158,34.9065,UNC,0,1,1,1,1,1,1,0,34.72,29.92,-0.1382,12,1,0
2025-07-29,STAI,13.38,29.2,1.1824,5113357,24.3553,CONT,1,1,1,1,0,0,0,0,29.04,23.6,-0.1873,12,0,0
2025-07-30,BGLC,4.46,6.4199,0.4394,21435839,7.6536,EX,0,0,0,0,1,1,1,0,6.39,7.25,0.1346,12,1,0
2025-07-30,REPL,3.75,7.0994,0.8932,39879526,6.3615,CONT,1,1,1,1,0,0,0,0,7.0902,7.565,0.067,12,1,0
2025-07-30,SUPX,16.12,25.36,0.5732,1973782,24.5539,CONT,1,1,0,1,0,0,0,0,25.36,23.21,-0.0848,11,1,0
2025-07-30,VWAV,7.73,10.4862,0.3566,13942899,9.9,CONT,1,1,1,1,0,0,0,1,10.4401,8.3017,-0.2048,12,1,0
2025-07-30,XBP,9.001,21.65,1.4053,6075328,20.1285,CONT,1,1,1,1,0,0,0,0,21.68,16.2,-0.2528,12,1,0
2025-07-31,APLD,10.03,13.665,0.3624,61260138,13.4566,CONT,1,1,1,1,0,0,1,0,13.6612,13.16,-0.0367,12,1,0
2025-07-31,PAPL,2.97,4.2,0.4141,3504254,3.9745,CONT,1,1,1,1,0,0,1,0,4.1964,5.0699,0.2082,12,1,0
2025-07-31,PBM,33.75,44.41,0.3159,2984344,52.6173,EX,0,0,1,0,1,1,1,1,44.38,31.66,-0.2866,12,1,0
2025-07-31,SNGX,1.25,2.48,0.984,85510585,2.2305,CONT,1,1,1,1,0,0,0,0,2.485,2.9116,0.1717,12,1,0
2025-08-01,IMAB,2.01,2.8802,0.4329,17978905,3.0158,CONT,0,1,1,1,1,0,0,0,2.88,2.63,-0.0868,12,0,0
2025-08-01,RDTL,31.86,42.6807,0.3396,945062,41.0828,UNC,1,1,1,1,0,1,1,0,42.74,42.53,-0.0049,12,1,0
2025-08-04,BTBD,1.64,4.755,1.8994,55164105,4.1571,CONT,1,1,1,1,0,0,1,0,4.758,2.7199,-0.4284,12,1,0
2025-08-04,CASI,1.29,2.2563,0.7491,35465297,2.1624,CONT,1,1,1,1,0,0,0,0,2.26,1.96,-0.1327,12,0,0
2025-08-04,COMM,7.79,12.97,0.665,20329393,13.8063,EX,0,0,1,0,1,1,1,1,12.965,14.5,0.1184,12,0,0
2025-08-04,GP,3.33,5.623,0.6886,1979756,5.2332,CONT,1,1,0,1,0,0,0,0,5.655,4.358,-0.2294,12,1,0
2025-08-04,PBM,14.75,26,0.7627,3444100,31.2482,EX,0,0,1,0,1,1,1,1,25.94,28.44,0.0964,12,1,0
2025-08-04,SCS,10.18,16.2,0.5914,4439237,15.8769,CONT,1,1,1,1,0,0,0,0,16.195,16.59,0.0244,12,0,0
2025-08-04,VERB,9.51,16.1379,0.6969,4385335,15.8105,CONT,1,1,1,1,0,0,1,0,16.085,20.3141,0.2629,12,0,0
2025-08-04,ZEPP,13,17.075,0.3135,618940,17.8587,UNC,0,1,1,0,1,1,1,0,17.07,17.36,0.017,12,1,0
2025-08-05,AIP,9.45,12.65,0.3386,7153093,13.3384,EX,0,0,0,0,1,1,1,0,12.65,13.02,0.0292,12,1,0
2025-08-05,AMRC,16.7,23.4,0.4012,768900,22.8019,UNC,1,1,1,1,0,1,1,0,23.4599,24.86,0.0597,12,1,0
2025-08-05,CSTL,15.32,20.505,0.3384,627513,20.382,CONT,1,1,1,1,0,0,1,0,20.51,20.35,-0.0078,12,1,0
2025-08-05,CWD,2.6244,6.4843,1.4708,23886261,5.7741,CONT,1,1,1,1,0,0,0,1,6.5,3.33,-0.4877,11,1,0
2025-08-05,STAA,18.49,26.79,0.4489,17605265,26.7752,UNC,1,1,1,1,0,0,1,1,26.79,27.01,0.0082,12,1,0
