date,ticker,prev_close,price_1030,gain_1030,cum_vol_1030,vwap_1030,read,C1,C2,C3,C4,E1,E2,E3,E4,entry_open_1030,close_eod,outcome_pct,n_slice_bars,active_proxy,boundary_leak_zone,catalyst,overnight_gap,intraday_push,rvol_1030,dollar_vol_m,mins_to_high,vwap_dist,dow,spy_am
2025-07-11,ABVE,1.55,3.8203,1.4647,56689963,3.5234,CONT,1,1,0,1,0,0,0,1,3.8247,3.63,-0.0509,12,0,0,EARNINGS,1.2581,0.0915,1.1,216.6,50,0.0843,4,0.00203
2025-07-11,BTOG,17.4,23.2,0.3333,514859,23.796,EX,0,1,0,0,1,1,1,0,23.29,26.32,0.1301,12,1,0,CRYPTO,0.4678,-0.0916,0.4,11.9,0,-0.025,4,0.00203
2025-07-11,FTFT,6.04,9.52,0.5762,2953555,10.1739,EX,0,1,0,0,1,1,1,0,9.526,15.4,0.6166,12,1,0,OTHER_NEWS,0.543,0.0215,173.6,28.1,10,-0.0643,4,0.00203
2025-07-11,INKT,7.73,52.4401,5.784,9668728,40.1547,CONT,1,1,1,1,0,0,0,0,52.77,64.0,0.2128,11,1,0,OTHER_NEWS,1.7257,1.4889,3571.2,507.0,55,0.306,4,0.00203
2025-07-11,SGN,1.23,2.44,0.9837,16738894,2.6379,EX,0,0,0,0,1,1,1,0,2.45,2.4,-0.0204,12,0,0,OTHER_NEWS,1.5366,-0.2179,6.7,40.8,0,-0.075,4,0.00203
2025-07-11,UMAC,8.69,11.36,0.3072,9549984,10.6683,CONT,1,1,1,1,0,0,1,0,11.36,12.08,0.0634,12,1,0,OTHER_NEWS,0.1346,0.1521,3.6,108.5,45,0.0648,4,0.00203
2025-07-11,ZEPP,6.09,8.598,0.4118,762417,7.679,CONT,1,1,1,1,0,0,0,0,8.5999,10.31,0.1989,12,1,0,NO_NEWS_PRE1030,0.064,0.3269,0.4,6.6,55,0.1197,4,0.00203
2025-07-14,DARE,2.515,5.9559,1.3682,22630918,7.2696,EX,0,0,0,0,1,1,1,0,5.94,3.11,-0.4764,12,1,0,FDA_CLINICAL,2.1451,-0.247,23.9,134.8,0,-0.1807,0,-0.00077
2025-07-14,MGRM,3.29,5.6516,0.7178,4429242,5.5881,CONT,1,1,1,1,0,0,1,0,5.66,5.85,0.0336,12,0,0,MERGER_ACQ,0.6809,0.022,67.7,25.0,40,0.0114,0,-0.00077
2025-07-14,PMN,9.76,18.5,0.8955,2400351,21.3462,UNC,0,1,1,0,1,0,0,0,18.39,12.79,-0.3045,12,1,0,ANALYST,0.1209,0.691,523.2,44.4,30,-0.1333,0,-0.00077
2025-07-14,SDST,2.52,5.185,1.0575,8213225,5.0299,UNC,1,1,0,1,0,1,1,0,5.171,4.705,-0.0901,12,1,0,FDA_CLINICAL,1.1341,-0.0359,13.7,42.6,20,0.0308,0,-0.00077
2025-07-14,SONN,5.17,14.79,1.8607,12394415,15.2497,EX,0,0,0,0,1,1,1,0,14.815,9.63,-0.35,12,0,0,FDA_CLINICAL,1.9072,-0.016,0.6,183.3,10,-0.0301,0,-0.00077
2025-07-14,SQFT,5.11,15.75,2.0822,7496576,13.6657,UNC,1,1,1,1,0,0,1,1,15.8,13.5299,-0.1437,11,1,0,EARNINGS,1.1331,0.445,334.2,118.1,35,0.1525,0,-0.00077
2025-07-14,YHC,2.6,3.64,0.4,6300934,3.5356,CONT,1,0,1,1,0,0,1,0,3.6424,4.585,0.2588,12,1,0,AI,0.3346,0.049,5.3,22.9,40,0.0295,0,-0.00077
2025-07-15,BLMZ,1.512,2.216,0.4656,6213861,2.5833,EX,0,0,0,0,1,1,1,0,2.212,2.175,-0.0167,12,0,0,EARNINGS,0.9643,-0.2539,11.0,13.8,10,-0.1422,1,-0.00324
2025-07-15,CYCC,3.31,12.87,2.8882,13906357,8.4861,CONT,1,1,1,1,0,0,0,0,13.5,12.26,-0.0919,11,0,0,OTHER_NEWS,0.3837,1.81,18.4,179.0,55,0.5166,1,-0.00324
2025-07-15,PLRZ,4.093,7.02,0.7151,9486086,6.8308,UNC,1,1,1,1,0,1,1,0,7.079,6.18,-0.127,12,1,0,OTHER_NEWS,0.224,0.4012,315.3,66.6,20,0.0277,1,-0.00324
2025-07-15,XAGE,2.645,6.1906,1.3405,39597654,6.9844,EX,0,0,0,0,1,1,1,0,6.19,5.9469,-0.0393,12,0,0,MERGER_ACQ,1.4537,-0.0461,116.7,245.1,10,-0.1137,1,-0.00324
2025-07-16,APM,0.9698,3.67,2.7843,59458150,2.7413,CONT,1,1,1,1,0,0,0,0,3.674,1.93,-0.4747,11,1,0,MERGER_ACQ,0.3714,1.7594,2094.3,218.2,50,0.3388,2,-0.00204
2025-07-16,DTST,3.38,4.6011,0.3613,3033105,4.5376,UNC,1,1,0,1,0,1,1,0,4.6015,5.2952,0.1508,12,1,0,MERGER_ACQ,0.3432,0.0135,11.8,14.0,0,0.014,2,-0.00204
2025-07-16,GAME,1.51,2.34,0.5497,21746411,2.2628,UNC,1,1,1,1,0,1,1,0,2.331,2.305,-0.0112,12,1,0,CRYPTO,0.447,0.0709,1.1,50.9,10,0.0341,2,-0.00204
2025-07-16,GTI,4.38,6.144,0.4027,1465051,6.9068,EX,0,0,0,0,1,1,1,0,6.162,6.12,-0.0068,12,0,0,FDA_CLINICAL,0.8781,-0.2531,6.1,9.0,0,-0.1104,2,-0.00204
2025-07-16,QLGN,3.53,4.8,0.3598,18962790,5.8176,EX,0,0,0,0,1,1,1,0,4.8,3.89,-0.1896,12,0,0,OTHER_NEWS,0.5382,-0.116,752.2,91.0,20,-0.1749,2,-0.00204
2025-07-16,RGTX,35.05,46.82,0.3358,975055,44.9864,UNC,1,1,1,1,0,1,1,0,46.68,56.25,0.205,12,1,0,NO_NEWS_PRE1030,0.1698,0.142,1.5,45.7,0,0.0408,2,-0.00204
2025-07-16,SRM,6.72,8.84,0.3155,9994771,8.3886,CONT,1,1,1,1,0,0,1,0,8.8654,10.3,0.1618,12,0,0,OTHER_NEWS,0.1607,0.1333,3.1,88.4,35,0.0538,2,-0.00204
2025-07-16,YHC,3.95,5.5292,0.3998,4567713,5.394,CONT,1,1,0,1,0,0,1,0,5.5,10.73,0.9509,12,1,0,OTHER_NEWS,0.1671,0.1994,0.7,25.3,40,0.0251,2,-0.00204
2025-07-17,ABVE,1.68,3.1704,0.8871,24891827,2.7713,CONT,1,1,1,1,0,0,0,0,3.1711,3.36,0.0596,12,0,0,OTHER_NEWS,0.5357,0.2288,0.3,78.9,55,0.144,3,0.00165
2025-07-17,BSLK,2.21,3.065,0.3869,14829681,3.5193,EX,0,0,0,0,1,1,1,0,3.065,2.96,-0.0343,12,0,0,NO_NEWS_PRE1030,0.905,-0.272,3.7,45.5,0,-0.1291,3,0.00165
2025-07-17,MRKR,1.6,2.38,0.4875,38881339,3.1198,UNC,0,1,0,0,1,0,0,1,2.38,1.9,-0.2017,12,1,0,EARNINGS,0.1125,0.3371,296.2,92.5,40,-0.2371,3,0.00165
2025-07-17,VLCN,9.2243,26.62,1.8859,4993380,34.5741,EX,0,0,0,0,1,1,1,0,26.75,21.4,-0.2,10,0,0,MERGER_ACQ,3.4152,-0.3464,126.8,132.9,0,-0.2301,3,0.00165
2025-07-18,BTOG,37.86,51.49,0.36,2435376,54.2998,UNC,0,1,1,0,1,0,1,0,51.49,45.94,-0.1078,12,1,0,OTHER_NEWS,0.2863,0.0573,1.0,125.4,40,-0.0517,4,-0.00305
2025-07-18,BZAI,3.03,4.1791,0.3792,11593672,4.6329,EX,0,0,0,0,1,1,1,0,4.1788,4.8,0.1487,12,1,0,EARNINGS,0.7525,-0.213,8.2,48.5,0,-0.098,4,-0.00305
2025-07-18,IXHL,11.1,15.32,0.3802,2742783,14.0172,CONT,1,1,1,1,0,0,0,0,15.31,18.0,0.1757,12,1,0,NO_NEWS_PRE1030,0.1423,0.2082,0.6,42.0,55,0.0929,4,-0.00305
2025-07-18,TELO,1.21,2.175,0.7975,30767962,2.5432,EX,0,0,0,0,1,1,1,0,2.175,2.295,0.0552,12,1,0,FDA_CLINICAL,1.5248,-0.2881,8.8,66.9,0,-0.1448,4,-0.00305
2025-07-21,AIRE,4.75,10.42,1.1937,6195619,9.2876,CONT,1,1,1,1,0,0,0,0,10.42,20.75,0.9914,12,1,0,FDA_CLINICAL,0.4133,0.5522,13.5,64.6,50,0.1219,0,0.00396
2025-07-21,DYNX,10.25,13.5614,0.3231,5583551,13.5235,UNC,1,1,0,0,0,1,1,0,13.51,11.93,-0.117,12,0,0,MERGER_ACQ,0.4195,-0.0679,106.4,75.7,0,0.0028,0,0.00396
2025-07-21,GCTK,5.83,8.6026,0.4756,2531833,8.7677,EX,0,1,0,0,1,1,1,0,8.6,7.98,-0.0721,12,1,0,FDA_CLINICAL,0.6655,-0.114,6.8,21.8,0,-0.0188,0,0.00396
2025-07-21,HSDT,8.9,11.8272,0.3289,3052626,12.6482,EX,0,0,0,0,1,1,1,0,11.9,9.68,-0.1866,12,1,0,FDA_CLINICAL,0.5517,-0.1436,35.7,36.1,0,-0.0649,0,0.00396
2025-07-21,IXHL,18.3,23.84,0.3027,2587529,23.8556,EX,0,0,0,0,1,1,1,0,23.84,24.47,0.0264,12,1,0,OTHER_NEWS,0.4262,-0.0866,0.4,61.7,0,-0.0007,0,0.00396
2025-07-21,NVTS,6.79,9.2108,0.3565,52376247,8.4292,CONT,1,1,1,1,0,0,1,0,9.22,8.46,-0.0824,12,1,0,FDA_CLINICAL,0.1016,0.2314,2.6,482.4,55,0.0927,0,0.00396
2025-07-21,OPEN,2.25,3.155,0.4022,298904927,3.0228,CONT,1,1,1,1,0,0,0,0,3.155,3.215,0.019,12,1,0,FDA_CLINICAL,0.2356,0.1349,1.3,943.0,40,0.0437,0,0.00396
2025-07-21,PMN,11.0,33.5,2.0455,2820321,28.0438,CONT,1,1,0,1,0,1,0,0,34.75,28.25,-0.1871,12,1,0,FDA_CLINICAL,1.9545,0.0308,6.8,94.5,0,0.1946,0,0.00396
2025-07-21,SABS,2.57,4.25,0.6537,45598399,5.3043,UNC,0,1,1,0,1,1,1,1,4.25,2.7,-0.3647,12,1,0,FDA_CLINICAL,0.3541,0.2213,693.1,193.8,15,-0.1988,0,0.00396
2025-07-21,VERI,2.26,3.0735,0.36,6037440,2.9446,UNC,1,1,1,1,0,1,1,0,3.0707,2.8,-0.0882,12,1,0,FDA_CLINICAL,0.1239,0.21,2.5,18.6,10,0.0438,0,0.00396
2025-07-21,ZIMV,8.44,18.76,1.2227,2958027,18.751,CONT,1,1,1,0,0,0,1,0,18.7688,18.76,-0.0005,12,0,0,MERGER_ACQ,1.2227,0.0,21.1,55.5,40,0.0005,0,0.00396
2025-07-22,DFLI,2.665,5.909,1.2173,24317127,5.4199,UNC,1,1,1,1,0,1,1,0,5.92,5.201,-0.1215,12,1,0,FDA_CLINICAL,0.5621,0.4194,18.9,143.7,10,0.0902,1,-0.00316
2025-07-22,HTOO,4.28,8.95,1.0911,6578211,9.6784,EX,0,0,1,0,1,1,1,0,8.84,6.84,-0.2262,11,1,0,FDA_CLINICAL,1.2921,-0.0877,40.1,58.9,5,-0.0753,1,-0.00316
2025-07-22,KSS,10.42,13.6598,0.3109,80083194,15.4547,EX,0,1,0,0,1,1,1,0,13.655,14.345,0.0505,12,1,0,EARNINGS,0.8954,-0.3084,12.1,1093.9,0,-0.1161,1,-0.00316
2025-07-22,MEDP,308.88,465.45,0.5069,1671557,475.5189,UNC,0,1,1,0,1,0,1,0,465.5,476.92,0.0245,12,1,0,FDA_CLINICAL,0.4426,0.0446,3.9,778.0,35,-0.0212,1,-0.00316
2025-07-22,PLRZ,5.447,9.45,0.7349,10208475,9.197,CONT,1,1,1,1,0,0,0,0,9.45,8.7,-0.0794,12,1,0,FDA_CLINICAL,0.1566,0.5,4.7,96.5,50,0.0275,1,-0.00316
2025-07-23,ABVX,10.0,64.8479,5.4848,9357582,66.1678,UNC,0,1,1,0,1,1,1,0,64.74,68.415,0.0568,12,1,0,FDA_CLINICAL,5.31,0.0277,6.8,606.8,10,-0.0199,2,-0.00128
2025-07-23,AMOD,46.4,81.16,0.7491,1505513,80.9528,UNC,1,0,1,0,0,0,0,1,81.0,73.6,-0.0914,12,1,0,EARNINGS,0.7069,0.0247,203.5,122.2,45,0.0026,2,-0.00128
2025-07-23,ANEB,1.83,3.1992,0.7482,4387960,3.2411,UNC,0,1,0,0,1,0,1,0,3.192,3.32,0.0401,12,0,0,OTHER_NEWS,0.7705,-0.0126,283.6,14.0,30,-0.0129,2,-0.00128
2025-07-23,CLSD,5.271,8.225,0.5604,2987608,7.9614,CONT,1,1,1,1,0,0,1,0,8.192,8.7,0.062,12,0,0,OTHER_NEWS,0.5475,0.0083,27.7,24.6,35,0.0331,2,-0.00128
2025-07-23,CTOR,1.65,2.3,0.3939,2609850,2.1092,CONT,1,1,1,1,0,0,0,0,2.265,1.8207,-0.1962,12,1,0,NO_NEWS_PRE1030,0.0303,0.3529,1.1,6.0,55,0.0905,2,-0.00128
2025-07-23,GPRO,1.37,2.245,0.6387,78232250,2.0941,UNC,1,1,0,1,0,1,1,0,2.245,1.5599,-0.3052,12,1,0,EARNINGS,0.6898,-0.0302,11.8,175.6,0,0.0721,2,-0.00128
2025-07-23,PAPL,3.5,6.72,0.92,4037956,7.3169,EX,0,1,0,0,1,1,1,1,6.742,5.7,-0.1546,11,1,0,OTHER_NEWS,1.42,-0.2066,4.1,27.1,0,-0.0816,2,-0.00128
2025-07-23,PLRZ,8.7,12.54,0.4414,5811765,12.6184,UNC,0,1,1,1,1,1,1,0,12.51,11.21,-0.1039,12,1,0,OTHER_NEWS,0.2069,0.1943,1.4,72.9,20,-0.0062,2,-0.00128
2025-07-24,AIRE,8.915,12.82,0.438,3125888,12.5824,CONT,1,1,1,1,0,0,1,0,12.84,11.28,-0.1215,12,1,0,EARNINGS,0.2406,0.1591,0.8,40.1,40,0.0189,3,0.00036
2025-07-24,IXHL,30.3,41.85,0.3812,2014375,40.3873,CONT,1,1,1,1,0,0,0,0,41.85,48.57,0.1606,12,1,0,OTHER_NEWS,0.198,0.1529,0.3,84.3,45,0.0362,3,0.00036
2025-07-24,LIDR,1.13,3.7192,2.2913,100960678,3.9819,EX,0,1,0,0,1,1,1,0,3.72,2.9112,-0.2174,12,1,0,EARNINGS,2.5664,-0.0771,86.4,375.5,5,-0.066,3,0.00036
2025-07-24,SUGP,7.505,10.3,0.3724,1012984,10.3437,UNC,0,1,1,1,1,1,1,0,10.3,9.801,-0.0484,12,1,0,NO_NEWS_PRE1030,0.0652,0.2885,2.8,10.4,10,-0.0042,3,0.00036
2025-07-25,COUR,9.08,12.205,0.3442,9471282,11.9319,UNC,1,1,0,1,0,1,1,0,12.21,12.37,0.0131,12,1,0,EARNINGS,0.272,0.0567,4.2,115.6,15,0.0229,4,0.00065
2025-07-25,HTOO,4.73,6.6108,0.3976,7909614,7.5351,UNC,0,1,1,0,1,1,1,0,6.62,6.9899,0.0559,12,1,0,FDA_CLINICAL,0.4271,-0.0206,2.4,52.3,10,-0.1227,4,0.00065
2025-07-25,LHAI,5.63,9.2201,0.6377,9267310,11.4053,EX,0,0,1,0,1,1,1,1,9.23,10.235,0.1089,11,1,0,EARNINGS,1.0906,-0.2166,0.7,85.4,5,-0.1916,4,0.00065
2025-07-25,LIDR,2.92,4.145,0.4195,80902124,3.8782,CONT,1,1,1,1,0,0,0,1,4.149,4.43,0.0677,12,1,0,OTHER_NEWS,0.1866,0.1962,2.2,335.3,55,0.0688,4,0.00065
2025-07-25,MCVT,1.85,2.54,0.373,6670261,2.6314,EX,0,1,0,0,1,1,1,1,2.5335,5.88,1.3209,12,1,0,NO_NEWS_PRE1030,0.5243,-0.0993,61.9,16.9,5,-0.0347,4,0.00065
2025-07-25,OCTO,1.43,2.025,0.4161,12637431,2.0158,CONT,1,1,0,1,0,0,1,0,2.025,2.445,0.2074,12,0,0,OTHER_NEWS,0.3392,0.0574,14.5,25.6,35,0.0046,4,0.00065
2025-07-25,SOWG,19.8,27.6,0.3939,1421626,27.1676,UNC,1,1,1,1,0,1,1,0,27.6,23.25,-0.1576,12,1,0,NO_NEWS_PRE1030,0.2424,0.122,9.2,39.2,0,0.0159,4,0.00065
2025-07-28,ABP,9.462,12.37,0.3073,595193,11.9048,CONT,1,1,1,1,0,0,0,0,12.37,9.453,-0.2358,12,0,0,FDA_CLINICAL,0.1108,0.177,0.6,7.4,50,0.0391,0,0.00037
2025-07-28,AIM,8.4,11.835,0.4089,1036536,14.2957,UNC,0,0,0,0,1,1,0,0,11.77,7.18,-0.39,10,1,0,FDA_CLINICAL,1.2595,-0.3764,153.1,12.3,0,-0.1721,0,0.00037
2025-07-28,ANGH,4.505,6.09,0.3518,1074434,6.4856,EX,0,0,1,0,1,1,1,1,6.053,6.262,0.0345,12,1,0,FDA_CLINICAL,0.3536,-0.0013,6.5,6.5,15,-0.061,0,0.00037
2025-07-28,CELC,13.77,35.4919,1.5775,8993261,41.5438,EX,0,0,0,0,1,1,1,0,35.53,36.7738,0.035,12,1,0,FDA_CLINICAL,2.3391,-0.2281,26.3,319.2,15,-0.1457,0,0.00037
2025-07-28,GTI,5.94,7.89,0.3283,1000151,8.633,EX,0,0,0,0,1,1,1,0,7.89,8.436,0.0692,12,0,0,FDA_CLINICAL,0.5808,-0.1597,0.9,7.9,0,-0.0861,0,0.00037
2025-07-28,NVNI,4.203,6.13,0.4585,5468098,6.1586,EX,0,1,0,0,1,1,1,1,6.158,6.9,0.1205,12,1,0,FDA_CLINICAL,0.349,0.0811,21.1,33.5,5,-0.0046,0,0.00037
2025-07-28,VAPE,8.875,62.1,5.9972,2498701,58.3157,CONT,1,1,1,1,0,0,0,0,62.1,57.6394,-0.0718,12,0,0,FDA_CLINICAL,4.858,0.1945,534.1,155.2,55,0.0649,0,0.00037
2025-07-28,VWAV,2.35,6.7099,1.8553,54955126,5.2286,CONT,1,1,1,1,0,0,0,0,6.7001,11.0,0.6418,12,1,0,AI,0.7447,0.6366,113.7,368.7,55,0.2833,0,0.00037
2025-07-29,SCNI,2.05,2.92,0.4244,24240058,3.1122,UNC,0,1,0,0,1,0,0,0,2.93,1.9903,-0.3207,12,1,0,OTHER_NEWS,0.2902,0.104,214.2,70.8,45,-0.0618,1,-0.00094
2025-07-29,SLRX,11.12,27.15,1.4415,1563377,29.8846,UNC,0,1,1,0,1,1,1,0,27.07,14.62,-0.4599,12,0,0,EARNINGS,1.1043,0.1603,40.4,42.4,15,-0.0915,1,-0.00094
2025-07-29,SOFX,26.56,34.72,0.3072,1073158,34.9065,UNC,0,1,1,1,1,1,1,0,34.72,29.92,-0.1382,12,1,0,NO_NEWS_PRE1030,0.1969,0.0922,3.0,37.3,0,-0.0053,1,-0.00094
