pair,entry_date,exit_date,direction,entry,exit,pnl_pct,risk_pct,risk_adjusted_pnl_pct,hold_days,exit_reason,units
EURUSD=X,2019-10-07 00:00:00,2019-10-24 00:00:00,1,1.098659634590149,1.1132385730743408,0.011410997487345238,0.0075,8.558248115508928e-05,14,time,1
EURUSD=X,2019-11-05 00:00:00,2019-11-08 00:00:00,1,1.1128298044204712,1.1019697189331055,-0.01028062132193887,0.0075,-7.710465991454152e-05,4,stop,1
EURUSD=X,2019-12-03 00:00:00,2019-12-09 00:00:00,1,1.1076037883758545,1.105888843536377,-0.002327263973813821,0.0075,-1.7454479803603657e-05,5,time,1
EURUSD=X,2020-01-03 00:00:00,2020-01-09 00:00:00,-1,1.1170812845230103,1.1113210916519165,0.005186470176593293,0.0075,3.88985263244497e-05,5,time,1
EURUSD=X,2020-02-04 00:00:00,2020-02-10 00:00:00,-1,1.1062926054000854,1.0949305295944214,0.010298664538349727,0.0075,7.723998403762295e-05,5,time,1
EURUSD=X,2020-03-04 00:00:00,2020-03-13 00:00:00,1,1.1177304983139038,1.1184931993484497,-0.0003513627582449445,0.0075,-2.6352206868370838e-06,8,trailing_stop,1
EURUSD=X,2020-04-03 00:00:00,2020-04-22 00:00:00,1,1.084386944770813,1.0856467485427856,0.00017842577904838642,0.0075,1.338193342862898e-06,14,trailing_stop,1
EURUSD=X,2020-05-05 00:00:00,2020-05-11 00:00:00,1,1.090453028678894,1.0839520692825317,-0.006455800053503985,0.0075,-4.841850040127989e-05,5,time,1
EURUSD=X,2021-04-05 00:00:00,2021-04-09 00:00:00,1,1.1766366958618164,1.1915684938430786,0.012205739981981639,0.0075,9.154304986486228e-05,5,time,1
EURUSD=X,2021-06-02 00:00:00,2021-06-02 00:00:00,1,1.2218068838119507,1.2217769622802734,-0.00023338704457784006,0.0075,-1.7504028343338003e-06,1,reversal,1
EURUSD=X,2021-06-03 00:00:00,2021-06-09 00:00:00,-1,1.2211503982543945,1.217285394668579,0.0029283945406261627,0.0075,2.1962959054696218e-05,5,time,1
EURUSD=X,2021-07-02 00:00:00,2021-07-02 00:00:00,1,1.184707760810852,1.1846235990524292,-0.00028561152960343176,0.0075,-2.142086472025738e-06,1,reversal,1
EURUSD=X,2021-07-05 00:00:00,2021-07-09 00:00:00,-1,1.1855926513671875,1.184800386428833,0.000430510700142965,0.0075,3.228830251072237e-06,5,time,1
EURUSD=X,2021-09-03 00:00:00,2021-09-09 00:00:00,-1,1.1874228715896606,1.1819101572036743,0.004401278631229573,0.0075,3.300958973422179e-05,5,time,1
EURUSD=X,2021-11-03 00:00:00,2021-11-09 00:00:00,-1,1.158077597618103,1.159151554107666,-0.0011729381349684016,0.0075,-8.797036012263012e-06,5,time,1
EURUSD=X,2022-01-04 00:00:00,2022-01-10 00:00:00,-1,1.1301988363265991,1.1353960037231445,-0.004848290757248029,0.0075,-3.6362180679360215e-05,5,time,1
EURUSD=X,2022-03-03 00:00:00,2022-03-09 00:00:00,-1,1.1113580465316772,1.0898232460021973,0.019147191073471143,0.0075,0.00014360393305103356,5,time,1
EURUSD=X,2022-05-03 00:00:00,2022-05-18 00:00:00,-1,1.0509058237075806,1.0547856092453003,-0.00393914723880421,0.0075,-2.9543604291031576e-05,12,trailing_stop,1
EURUSD=X,2022-06-03 00:00:00,2022-06-23 00:00:00,-1,1.0751069784164429,1.0564124584197998,0.01763399959462696,0.0075,0.00013225499695970218,15,trailing_stop,1
EURUSD=X,2022-07-04 00:00:00,2022-07-04 00:00:00,-1,1.0433948040008545,1.0433948040008545,-0.00015825733976256595,0.0075,-1.1869300482192447e-06,1,reversal,1
EURUSD=X,2022-07-05 00:00:00,2022-07-05 00:00:00,1,1.0433186292648315,1.0433186292648315,-0.0002807370882651746,0.0075,-2.1055281619888093e-06,1,reversal,1
EURUSD=X,2022-07-06 00:00:00,2022-07-20 00:00:00,-1,1.0257673263549805,1.0231330394744873,0.0028745073357613494,0.0075,2.155880501821012e-05,11,trailing_stop,1
EURUSD=X,2022-07-29 00:00:00,2022-08-02 00:00:00,1,1.0192328691482544,1.0261356830596924,0.006350304777975847,0.0075,4.762728583481885e-05,3,reversal,1
EURUSD=X,2022-08-03 00:00:00,2022-08-11 00:00:00,-1,1.015568733215332,1.0300782918930054,-0.014146251989235581,0.0075,-0.00010609688991926685,7,trailing_stop,1
EURUSD=X,2022-09-02 00:00:00,2022-09-05 00:00:00,-1,0.995232880115509,0.9909427762031555,0.0041973665555220105,0.0075,3.148024916641508e-05,2,reversal,1
EURUSD=X,2022-09-06 00:00:00,2022-09-21 00:00:00,1,0.9952229857444763,0.997078537940979,7.226587705123715e-05,0.0075,5.419940778842786e-07,12,trailing_stop,1
EURUSD=X,2022-10-04 00:00:00,2022-10-10 00:00:00,-1,0.9832068681716919,0.9735012650489807,0.009830972121649703,0.0075,7.373229091237277e-05,5,time,1
EURUSD=X,2022-11-02 00:00:00,2022-11-03 00:00:00,-1,0.9877909421920776,0.9814409017562866,0.006298383464631448,0.0075,4.723787598473586e-05,2,reversal,1
EURUSD=X,2022-11-04 00:00:00,2022-12-01 00:00:00,1,0.9749630093574524,1.042535424232483,0.06653267136802342,0.0075,0.0004989950352601757,20,time,1
