market,report_date,open_interest,noncomm_long,noncomm_short,net_spec,net_spec_pct_oi,published_date
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-12-14,32612,4314,6604,-2290,-7.021955108549001,2021-12-17
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-12-21,31952,4303,4764,-461,-1.4427891837756635,2021-12-24
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-12-28,32372,4308,4470,-162,-0.500432472507105,2021-12-31
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-01-04,33462,4828,5757,-929,-2.776283545514315,2022-01-07
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-01-11,33633,4830,5730,-900,-2.675943270002676,2022-01-14
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-01-18,33164,4879,5485,-606,-1.827282595585575,2022-01-21
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-01-25,32674,4460,3880,580,1.7751117096162086,2022-01-28
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-02-01,32962,4963,4166,797,2.4179358048662096,2022-02-04
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-02-08,32594,4467,5450,-983,-3.0158924955513284,2022-02-11
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-02-15,32299,4452,4398,54,0.167187838632775,2022-02-18
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-02-22,31941,4454,4366,88,0.2755079678156601,2022-02-25
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2022-03-01,32732,4913,5014,-101,-0.30856654038861053,2022-03-04
